show_id,type,title,date_added,release_year,rating,duration,listed_in,description
s200,Movie,The Pacifier,11-Jun-21,2005,PG,97 min,"Action-Adventure, Comedy, Spy/Espionage",A Navy SEAL gets his toughest mission yet: Babysitting.
s201,TV Show,Zenimation,11-Jun-21,2020,TV-G,2 Seasons,"Animation, Anthology, Family","Unplug, relax and refresh your senses with the soundscapes of Disney Animation’s Zenimation."
s202,TV Show,Loki,9-Jun-21,2021,TV-14,1 Season,"Action-Adventure, Fantasy, Science Fiction",The mercurial villain Loki (Tom Hiddleston) resumes his role as the God of Mischief.
s203,TV Show,Gordon Ramsay: Uncharted,4-Jun-21,2018,TV-14,3 Seasons,"Action-Adventure, Docuseries, Lifestyle",Gordon Ramsay travels the globe on an epic adventure in search of culinary inspiration.
s204,TV Show,MUPPET BABIES,4-Jun-21,2017,TV-Y,3 Seasons,"Animation, Kids",The Muppet Babies are here to make dreams come true!
s205,Movie,Raya and the Last Dragon,4-Jun-21,2021,PG,112 min,"Action-Adventure, Animation, Family","When evil threatens Kumandra, Raya must find the last dragon to save it."
s206,Movie,Red Tails,4-Jun-21,2012,PG-13,126 min,"Action-Adventure, Drama, Historical",Black fighter pilots get the chance to prove themselves during WWII.
s207,Movie,Us Again,4-Jun-21,2021,G,7 min,"Animation, Dance, Family",An elderly man and his young-at-heart wife rekindle their passion for life on one magical night.
s208,Movie,American Eid,28-May-21,2021,G,21 min,Drama,"Ameena, a homesick Muslim Pakistani immigrant, wakes up on Eid to find out she has to go to school."
s209,TV Show,Bluey,28-May-21,2019,TV-Y,2 Seasons,"Animation, Kids","Bluey is a six year-old Blue Heeler dog, who turns everyday family life into adventures."
s210,Movie,Dinner Is Served,28-May-21,2021,TV-PG,21 min,"Coming of Age, Drama",A Chinese student uncovers his true identity when trying out for a leadership role at a U.S. school.
s211,TV Show,Disney Sydney To The Max,28-May-21,2018,TV-G,3 Seasons,"Comedy, Coming of Age, Family",Sydney navigates middle school with help from her Dad.
s212,Movie,Growing Fangs,28-May-21,2021,TV-PG,20 min,"Coming of Age, Fantasy","Val Garcia, a Mexican-American half human/half vampire teenager, struggles to fit in either world."
s213,TV Show,Kingdom of the Polar Bears,28-May-21,2021,TV-PG,1 Season,"Animals & Nature, Docuseries",Follow a mother polar bear as she raises two cubs on the Hudson Bay’s receding ice.
s214,Movie,Let's Be Tigers,28-May-21,2021,PG,15 min,Drama,"Grieving for her mother, Avalon finds comfort when she's put in charge of a 4-year-old for a night."
s215,Movie,The Last of the Chupacabras,28-May-21,2021,TV-PG,14 min,Fantasy,A lonely Mexican-American woman unknowingly summons a dark and ancient creature.
s216,Movie,The Little Prince(ss),28-May-21,2021,PG,19 min,Drama,"When Chinese kids Gabriel and Rob become friends, Rob's dad questions Gabriel's feminine behavior."
s217,TV Show,Wicked Tuna,28-May-21,2016,TV-14,10 Seasons,"Action-Adventure, Animals & Nature, Docuseries",Massachusetts fishermen make their living one catch at a time in pursuit of the bluefin tuna.
s218,TV Show,Big City Greens,21-May-21,2017,TV-Y7,2 Seasons,"Action-Adventure, Animation, Comedy",The Green family moves from the country to Big City.
s219,TV Show,Fury Files,21-May-21,2013,TV-Y7,1 Season,"Animation, Superhero",Get top-secret access to S.H.I.E.L.D. video dossiers on key Marvel heroes and villains.
s220,TV Show,Ice Road Rescue,21-May-21,2015,TV-14,5 Seasons,"Docuseries, Reality, Survival",Ice Road Rescue follows Norwegian towing teams who rescue trucks and trailers on icy mountain roads.
s221,Movie,Tinker Bell and the Legend of the NeverBeast,21-May-21,2014,G,79 min,"Action-Adventure, Animation, Fantasy",Tink and her friends risk everything to rescue the mysterious NeverBeast.
s222,TV Show,Schoolhouse Rock!,17-May-21,1973,TV-G,6 Seasons,"Animals & Nature, Animation, Kids","Musical shorts teach kids history, grammar, and math."
s223,TV Show,Disney Special Agent Oso: Three Healthy Steps (Shorts),14-May-21,2011,TV-Y,1 Season,"Action-Adventure, Animation, Kids",Oso and his friends watch a kid as they demonstrate the steps to performing a healthy activity.
s224,TV Show,Race to the Center of the Earth,14-May-21,2021,TV-14,1 Season,"Action-Adventure, Family, Game Show / Competition",Race to the Center of the Earth. Four epic courses. One finish line.
s225,TV Show,Special Agent Oso,14-May-21,2009,TV-Y,2 Seasons,"Action-Adventure, Animation, Kids",Special Agent Oso is an adorable stuffed bear and an agent-in-training!
s226,Movie,X-Men: The Last Stand,14-May-21,2006,PG-13,105 min,"Action-Adventure, Family, Science Fiction","When Professor X clashes with Magneto, the battle lines are drawn for the war to end all wars."
s227,TV Show,The Incredible Hulk,10-May-21,1996,TV-Y7,2 Seasons,"Action-Adventure, Animation, Kids",Scientist Bruce Banner develops a dangerous alter ego – a monster known as the Incredible Hulk.
s228,Movie,Fantastic Four: Rise of the Silver Surfer,7-May-21,2007,PG,93 min,"Action-Adventure, Family, Science Fiction","The Fantastic Four meet The Silver Surfer, who comes to Earth to prepare it for destruction."
s229,TV Show,Wander Over Yonder,7-May-21,2013,TV-Y7,2 Seasons,Comedy,Best friends travel through the cosmos.
s230,Movie,Wild Hearts Can't Be Broken,7-May-21,1991,G,89 min,"Biographical, Drama","A runaway is determined to become a death-defying horse ""diving girl."""
s231,Movie,"Maggie Simpson in ""The Force Awakens from its Nap""",4-May-21,2021,TV-PG,4 min,"Animation, Comedy, Parody","In a daycare far, far away… but still in Springfield, Maggie goes on a quest for her lost pacifier."
s232,Movie,Star Wars Biomes,4-May-21,2021,TV-G,18 min,Science Fiction,"Fly over the surface of some of the most iconic Star Wars biomes, planets, and moons."
s233,TV Show,Star Wars Vehicle Flythroughs,4-May-21,2021,TV-G,1 Season,"Anthology, Science Fiction",Fly through some of the most iconic Star Wars ships and vehicles.
s234,TV Show,The Bad Batch,4-May-21,2021,TV-PG,1 Season,"Action-Adventure, Animation, Science Fiction",The Bad Batch must find their way in a rapidly changing galaxy.
s235,TV Show,Spider-Man,3-May-21,1994,TV-Y7,5 Seasons,"Action-Adventure, Animation, Kids",A young man with spider-like abilities fights crime while trying to have a normal personal life.
s236,Movie,22 vs. Earth,30-Apr-21,2021,TV-PG,9 min,"Animation, Comedy, Family","22 refuses to go to Earth, enlisting a gang of 5 other new souls in her attempt at rebellion."
s237,TV Show,Adventures in Wonderland,30-Apr-21,1996,TV-G,1 Season,"Fantasy, Musical",This Emmy award-winning series mixes music and fantasy with language and social skills.
s238,Movie,Disney My Music Story SUKIMASWITCH,30-Apr-21,2020,TV-PG,81 min,"Biographical, Documentary, Music",This episode features SUKIMASWITCH. They share their thoughts on music.
s239,TV Show,DuckTales,30-Apr-21,2017,TV-Y7,3 Seasons,"Action-Adventure, Animation, Comedy",Join Scrooge and family on globe-trotting adventures!
s240,Movie,Oklahoma!,30-Apr-21,1956,TV-PG,148 min,"Musical, Romance, Western",Two young cowboys vie with a ranch hand and peddler for the hearts of the women they love.
s241,Movie,Baby's Day Out,23-Apr-21,1994,PG,99 min,"Action-Adventure, Comedy, Crime",Three bumbling kidnappers attempt to nab the baby of a rich couple.
